0,50,1,0,0
0.1,48.891,1.1676,0.088774,0.1639
0.2,47.69,1.3629,0.19136,0.23197
0.3,46.382,1.5904,0.30998,0.27342
0.4,44.948,1.8552,0.44718,0.31034
0.5,43.369,2.1631,0.60592,0.34844
0.6,41.62,2.5209,0.78955,0.39173
0.7,39.675,2.936,1.0018,0.44159
0.8,37.502,3.4175,1.2472,0.49897
0.9,35.07,3.9748,1.5304,0.5649
1,32.338,4.6189,1.857,0.6405
1.1,29.265,5.3619,2.233,0.72657
1.2,25.805,6.2166,2.6648,0.8247
1.3,21.909,7.1974,3.1597,0.93476
1.4,17.527,8.3183,3.7245,1.058
1.5,12.616,9.5918,4.3656,1.1928
1.6,7.1618,11.022,5.0848,1.3335
1.7,1.4024,12.54,5.8482,1.4253
1.8,0.00050524,12.815,5.9897,0.64605
1.9,0.00051096,12.69,5.9315,0.25765
2,0.00051464,12.567,5.8739,0.13837
2.1,0.00051726,12.444,5.8169,0.10173
2.2,0.00052244,12.323,5.7604,0.090477
2.3,0.00052861,12.204,5.7045,0.087018
2.4,0.00053389,12.085,5.6492,0.085956
2.5,0.00053679,11.968,5.5944,0.08563
2.6,0.00054181,11.851,5.5401,0.085529
2.7,0.00054831,11.736,5.4864,0.085498
2.8,0.00055092,11.622,5.4333,0.085489
2.9,0.00055755,11.51,5.3806,0.085486
3,0.00056164,11.398,5.3285,0.085485
3.1,0.00056706,11.287,5.2769,0.085485
3.2,0.00057177,11.178,5.2258,0.085485
3.3,0.00057765,11.069,5.1752,0.085485
3.4,0.0005813,10.962,5.1252,0.085485
3.5,0.00058872,10.856,5.0756,0.085484
3.6,0.00059203,10.751,5.0265,0.085485
3.7,0.0005977,10.647,4.9779,0.085485
3.8,0.00060468,10.543,4.9298,0.085484
3.9,0.00060869,10.441,4.8822,0.085485
4,0.00061314,10.34,4.835,0.085485
4.1,0.00061982,10.24,4.7883,0.085485
4.2,0.00062654,10.141,4.7421,0.085484
4.3,0.00063214,10.043,4.6963,0.085484
4.4,0.00063699,9.9461,4.651,0.085484
4.5,0.00064201,9.85,4.6062,0.085485
4.6,0.00064738,9.7548,4.5618,0.085485
4.7,0.00065305,9.6606,4.5178,0.085485
4.8,0.00065891,9.5673,4.4742,0.085485
4.9,0.00066489,9.4749,4.4311,0.085485
5,0.00067101,9.3835,4.3885,0.085485
5.1,0.00067736,9.293,4.3462,0.085484
5.2,0.00068404,9.2033,4.3044,0.085484
5.3,0.00069104,9.1146,4.263,0.085484
5.4,0.00069797,9.0267,4.222,0.085484
5.5,0.00070389,8.9398,4.1814,0.085484
5.6,0.00070899,8.8536,4.1412,0.085484
5.7,0.00071471,8.7684,4.1014,0.085484
5.8,0.00072255,8.684,4.062,0.085484
5.9,0.00073013,8.6004,4.023,0.085484
6,0.00073505,8.5177,3.9844,0.085484
6.1,0.00074152,8.4358,3.9462,0.085484
6.2,0.00075023,8.3547,3.9084,0.085484
6.3,0.0007552,8.2744,3.8709,0.085484
6.4,0.00076253,8.1949,3.8338,0.085484
6.5,0.0007704,8.1162,3.7971,0.085484
6.6,0.00077558,8.0383,3.7607,0.085484
6.7,0.00078492,7.9611,3.7247,0.085483
6.8,0.00078965,7.8847,3.6891,0.085484
6.9,0.00079929,7.8091,3.6538,0.085483
7,0.00080417,7.7343,3.6188,0.085484
7.1,0.00081372,7.6601,3.5843,0.085483
7.2,0.00081942,7.5868,3.55,0.085484
7.3,0.00082765,7.5141,3.5161,0.085484
7.4,0.00083585,7.4422,3.4825,0.085483
7.5,0.00084153,7.371,3.4493,0.085484
7.6,0.00085115,7.3005,3.4164,0.085483
7.7,0.00085873,7.2307,3.3838,0.085483
7.8,0.00086486,7.1616,3.3516,0.085484
7.9,0.00087403,7.0931,3.3196,0.085483
8,0.00088317,7.0254,3.288,0.085483
8.1,0.00088996,6.9583,3.2567,0.085483
8.2,0.00089695,6.8919,3.2258,0.085484
8.3,0.00090582,6.8262,3.1951,0.085483
8.4,0.00091533,6.7611,3.1647,0.085483
8.5,0.00092422,6.6967,3.1346,0.085483
8.6,0.00093213,6.6329,3.1049,0.085483
8.7,0.00093982,6.5697,3.0754,0.085483
8.8,0.00094776,6.5072,3.0462,0.085483
8.9,0.00095609,6.4453,3.0173,0.085483
9,0.00096476,6.384,2.9887,0.085483
9.1,0.00097366,6.3233,2.9604,0.085483
9.2,0.00098267,6.2632,2.9323,0.085483
9.3,0.0009917,6.2037,2.9046,0.085483
9.4,0.0010007,6.1448,2.8771,0.085483
9.5,0.0010098,6.0865,2.8499,0.085483
9.6,0.001019,6.0288,2.823,0.085483
9.7,0.0010285,5.9717,2.7963,0.085483
9.8,0.0010383,5.9151,2.7699,0.085483
9.9,0.0010485,5.8591,2.7437,0.085483
10,0.001059,5.8036,2.7179,0.085482
10.1,0.0010691,5.7487,2.6922,0.085482
10.2,0.0010782,5.6943,2.6669,0.085482
10.3,0.0010868,5.6405,2.6418,0.085483
10.4,0.001096,5.5872,2.6169,0.085483
10.5,0.0011072,5.5345,2.5923,0.085482
